distance,angle
0,358.890625
0,359.74169921875
0,360.5927734375
0,361.44384765625
0,362.294921875
0,363.14599609375
0,363.9970703125
0,364.84814453125
0,365.69921875
0,366.55029296875
0,367.4013671875
0,368.25244140625
0,369.103515625
0,369.95458984375
0,370.8056640625
0,371.65673828125
0,372.5078125
0,373.35888671875
0,374.2099609375
0,375.06103515625
0,375.912109375
0,376.76318359375
0,377.6142578125
0,378.46533203125
0,379.31640625
0,380.16748046875
0,381.0185546875
0,381.86962890625
0,382.720703125
0,383.57177734375
0,384.4228515625
0,385.27392578125
0,26.125
0,26.9755859375
0,27.826171875
0,28.6767578125
0,29.52734375
0,30.3779296875
0,31.228515625
0,32.0791015625
0,32.9296875
0,33.7802734375
0,34.630859375
0,35.4814453125
0,36.33203125
0,37.1826171875
0,38.033203125
0,38.8837890625
0,39.734375
0,40.5849609375
0,41.435546875
0,42.2861328125
0,43.13671875
0,43.9873046875
0,44.837890625
0,45.6884765625
0,45.0390625
0,47.3896484375
210,48.240234375
0,49.0908203125
0,49.94140625
209,50.5419921875
0,51.642578125
209,52.2431640625
0,53.34375
0,54.1982421875
0,55.052734375
0,55.9072265625
0,56.76171875
209,57.3662109375
209,57.095703125
211,59.0751953125
0,60.1796875
0,61.0341796875
213,61.638671875
0,62.7431640625
0,63.59765625
0,64.4521484375
0,65.306640625
0,66.1611328125
0,67.015625
215,67.1201171875
0,68.724609375
0,69.5791015625
0,70.43359375
0,71.2880859375
0,72.142578125
0,72.9970703125
0,73.8515625
0,74.7060546875
0,75.560546875
0,76.4150390625
0,77.26953125
0,78.1240234375
0,78.978515625
0,79.8330078125
0,80.6875
0,81.55029296875
0,82.4130859375
0,83.27587890625
0,84.138671875
0,85.00146484375
0,85.8642578125
0,86.72705078125
0,87.58984375
0,88.45263671875
0,89.3154296875
0,90.17822265625
0,91.041015625
0,91.90380859375
0,92.7666015625
0,93.62939453125
0,94.4921875
0,95.35498046875
0,96.2177734375
0,97.08056640625
0,97.943359375
0,98.80615234375
0,99.6689453125
0,100.53173828125
0,101.39453125
0,102.25732421875
0,103.1201171875
0,103.98291015625
0,104.845703125
0,105.70849609375
0,106.5712890625
0,107.43408203125
0,108.296875
0,109.1533203125
0,110.009765625
0,110.8662109375
0,111.72265625
0,112.5791015625
0,113.435546875
0,114.2919921875
0,115.1484375
0,116.0048828125
0,116.861328125
0,117.7177734375
0,118.57421875
0,119.4306640625
0,120.287109375
0,121.1435546875
0,122
0,122.8564453125
0,123.712890625
0,124.5693359375
0,125.42578125
0,126.2822265625
0,127.138671875
0,127.9951171875
0,128.8515625
0,129.7080078125
0,130.564453125
0,131.4208984375
0,132.27734375
0,133.1337890625
0,133.990234375
0,134.8466796875
0,135.703125
0,136.56689453125
0,137.4306640625
0,138.29443359375
0,139.158203125
0,140.02197265625
0,140.8857421875
0,141.74951171875
0,142.36328125
0,143.47705078125
0,144.3408203125
0,145.20458984375
0,146.068359375
0,146.93212890625
0,147.7958984375
0,148.65966796875
0,149.5234375
0,150.38720703125
0,151.2509765625
0,152.11474609375
0,152.978515625
0,153.84228515625
0,154.7060546875
0,155.56982421875
0,156.43359375
0,157.29736328125
0,158.1611328125
0,159.02490234375
0,159.888671875
0,160.75244140625
0,161.6162109375
0,162.47998046875
0,163.34375
0,164.20849609375
0,165.0732421875
0,165.93798828125
0,166.802734375
0,167.66748046875
0,168.5322265625
0,169.39697265625
0,170.26171875
0,171.12646484375
0,171.9912109375
0,172.85595703125
0,173.720703125
0,174.58544921875
0,175.4501953125
0,176.31494140625
0,177.1796875
0,178.04443359375
0,178.9091796875
0,179.77392578125
0,180.638671875
0,181.50341796875
0,182.3681640625
0,183.23291015625
0,184.09765625
0,184.96240234375
0,185.8271484375
0,186.69189453125
0,187.556640625
0,188.42138671875
0,189.2861328125
0,190.15087890625
0,191.015625
0,191.8837890625
0,192.751953125
0,193.6201171875
0,194.48828125
0,195.3564453125
0,196.224609375
0,197.0927734375
0,197.9609375
0,198.8291015625
0,199.697265625
0,200.5654296875
0,201.43359375
0,202.3017578125
0,203.169921875
0,204.0380859375
0,204.90625
0,205.7744140625
0,206.642578125
0,207.5107421875
0,208.37890625
0,209.2470703125
0,210.115234375
0,210.9833984375
0,211.8515625
0,212.7197265625
0,213.587890625
0,214.4560546875
0,209.57421875
658,210.1923828125
678,211.185546875
0,217.9287109375
0,218.796875
0,219.66650390625
0,220.5361328125
0,221.40576171875
0,222.275390625
0,223.14501953125
0,224.0146484375
0,224.88427734375
0,225.75390625
0,220.12353515625
913,220.9931640625
917,221.86279296875
910,222.732421875
905,223.60205078125
907,224.5966796875
907,225.34130859375
904,226.3359375
903,227.20556640625
901,227.9501953125
895,228.81982421875
892,229.689453125
893,230.68408203125
895,231.4287109375
895,232.29833984375
893,233.16796875
894,234.03759765625
897,235.0322265625
899,235.77685546875
898,236.771484375
898,237.64111328125
902,238.3857421875
904,239.25537109375
904,240.125
906,241.125
907,241.875
915,242.75
919,243.625
919,244.5
925,245.375
931,246.125
936,247.125
941,248
945,248.75
947,249.75
958,250.5
963,251.375
0,258.875
0,259.75
0,260.625
0,261.5
0,255.875
0,263.25
0,264.125
0,265
0,265.875
0,266.75
0,267.625
0,268.5
0,269.375
0,270.25
0,271.125
0,272
0,272.875
0,273.75
0,274.625
0,275.50244140625
0,276.3798828125
0,277.25732421875
0,278.134765625
0,279.01220703125
0,279.8896484375
0,280.76708984375
0,281.64453125
0,275.64697265625
0,283.3994140625
0,284.27685546875
0,285.154296875
0,278.90673828125
1589,279.7841796875
1619,280.66162109375
1650,281.4140625
1675,282.29150390625
1707,283.1689453125
1742,284.04638671875
1776,284.923828125
1812,285.80126953125
1850,286.6787109375
1888,287.55615234375
1933,288.43359375
1982,289.18603515625
2032,290.0634765625
2083,290.94091796875
2137,291.818359375
0,300.07080078125
0,300.9482421875
0,294.20068359375
0,295.078125
3023,295.96240234375
3011,296.8466796875
2999,297.73095703125
2985,298.615234375
2971,299.49951171875
0,308.0087890625
0,308.89306640625
0,302.02734375
4982,302.91162109375
5008,303.7958984375
5038,304.68017578125
