distance,angle
0,358.40625
0,359.29052734375
0,352.4248046875
4678,353.30908203125
4674,354.193359375
0,355.07763671875
5736,355.9619140625
0,364.59619140625
0,365.48046875
0,366.36474609375
0,359.4990234375
4688,360.38330078125
4684,361.267578125
4726,362.15185546875
4820,363.0361328125
4811,363.92041015625
0,372.5546875
0,373.43896484375
0,374.3232421875
0,375.20751953125
0,368.466796875
0,369.60107421875
0,370.6103515625
1834,371.49462890625
0,372.37890625
0,373.26318359375
1675,374.1474609375
1629,375.15673828125
1585,376.041015625
1547,376.92529296875
1505,377.8095703125
1466,378.81884765625
1432,19.703125
0,27.58544921875
0,28.4677734375
0,29.35009765625
0,30.232421875
0,31.11474609375
0,31.9970703125
0,32.87939453125
0,33.76171875
0,34.64404296875
0,35.5263671875
0,36.40869140625
0,37.291015625
0,38.17333984375
0,39.0556640625
0,39.93798828125
0,40.8203125
0,41.70263671875
0,42.5849609375
0,43.46728515625
0,44.349609375
0,45.23193359375
0,46.1142578125
0,46.99658203125
0,47.87890625
0,48.76123046875
0,49.6435546875
0,50.52587890625
0,51.408203125
0,52.29052734375
0,53.1728515625
0,54.05517578125
0,54.9375
0,55.82666015625
0,56.7158203125
0,51.97998046875
615,52.869140625
612,53.63330078125
606,54.6474609375
601,55.53662109375
598,56.55078125
592,57.31494140625
588,58.2041015625
586,59.21826171875
584,60.107421875
580,61.12158203125
576,61.7607421875
575,62.64990234375
573,63.5390625
572,64.55322265625
570,65.4423828125
566,66.33154296875
567,67.220703125
566,68.10986328125
565,68.9990234375
564,70.01318359375
563,70.77734375
562,71.66650390625
562,72.6806640625
563,73.31982421875
563,74.333984375
563,75.22314453125
563,76.1123046875
563,77.00146484375
563,77.890625
563,78.78466796875
564,79.6787109375
565,80.57275390625
564,81.591796875
565,82.23583984375
566,83.1298828125
567,84.27392578125
570,85.04296875
573,85.93701171875
575,86.7060546875
577,87.60009765625
579,88.619140625
579,89.38818359375
585,90.2822265625
589,91.30126953125
587,92.1953125
586,93.08935546875
592,93.9833984375
598,94.62744140625
602,95.521484375
605,96.54052734375
608,97.4345703125
608,98.32861328125
613,99.09765625
623,99.99169921875
626,100.7607421875
631,101.65478515625
634,102.798828125
635,103.44287109375
0,110.2119140625
640,105.35595703125
0,112
647,107.1376953125
0,113.775390625
656,108.7880859375
0,115.55078125
0,116.4384765625
0,117.326171875
0,112.3388671875
0,119.1015625
0,119.9892578125
0,120.876953125
0,121.7646484375
0,122.65234375
0,123.5400390625
0,124.427734375
0,125.3154296875
0,126.203125
0,127.0908203125
0,127.978515625
0,128.8662109375
0,129.75390625
0,130.6416015625
0,131.529296875
0,132.4169921875
0,133.3046875
0,134.1923828125
0,135.080078125
0,135.9677734375
0,136.85546875
0,137.7431640625
0,138.630859375
0,139.5185546875
0,140.40625
0,141.29931640625
0,142.1923828125
0,143.08544921875
0,143.978515625
0,144.87158203125
0,145.7646484375
0,146.65771484375
0,147.55078125
0,148.44384765625
0,149.3369140625
0,150.22998046875
0,151.123046875
0,152.01611328125
0,152.9091796875
0,153.80224609375
0,154.6953125
0,155.58837890625
0,156.4814453125
0,157.37451171875
0,158.267578125
0,159.16064453125
0,160.0537109375
0,160.94677734375
0,161.83984375
0,162.73291015625
0,163.6259765625
0,164.51904296875
0,165.412109375
0,166.30517578125
0,167.1982421875
0,168.09130859375
0,168.984375
0,169.87841796875
0,166.3974609375
397,167.16650390625
0,172.560546875
0,173.45458984375
0,174.3486328125
0,175.24267578125
0,176.13671875
0,177.03076171875
0,177.9248046875
0,178.81884765625
0,179.712890625
0,180.60693359375
0,181.5009765625
0,182.39501953125
0,183.2890625
0,184.18310546875
0,185.0771484375
0,185.97119140625
0,186.865234375
0,187.75927734375
0,188.6533203125
0,189.54736328125
0,190.44140625
0,191.33544921875
0,192.2294921875
0,193.12353515625
0,194.017578125
0,194.91162109375
0,195.8056640625
0,196.69970703125
0,197.59375
0,198.49267578125
0,199.3916015625
0,200.29052734375
0,201.189453125
0,202.08837890625
0,202.9873046875
0,199.01123046875
481,199.66015625
487,200.43408203125
494,201.4580078125
499,202.48193359375
505,203.130859375
507,204.15478515625
514,205.0537109375
523,205.82763671875
527,206.6015625
533,207.62548828125
542,208.3994140625
551,209.17333984375
561,210.072265625
569,210.97119140625
573,211.8701171875
582,212.64404296875
