distance,angle
4694,351.140625
4731,352.0087890625
0,352.751953125
0,361.4951171875
5850,354.61328125
0,363.2314453125
0,356.349609375
4663,357.2177734375
4697,358.0859375
0,358.9541015625
0,359.822265625
4737,360.6904296875
0,369.30859375
0,370.1767578125
0,371.044921875
0,364.6630859375
0,365.53125
0,366.3994140625
0,367.267578125
0,368.1357421875
0,369.00390625
0,369.9970703125
0,370.865234375
0,378.8583984375
0,379.7265625
0,380.5947265625
0,381.462890625
0,382.3310546875
0,383.19921875
0,384.0673828125
0,384.935546875
0,385.8037109375
0,26.671875
0,27.541015625
0,28.41015625
0,29.279296875
0,30.1484375
0,31.017578125
0,31.88671875
0,32.755859375
0,33.625
0,34.494140625
0,35.36328125
0,36.232421875
0,37.1015625
0,37.970703125
0,38.83984375
0,39.708984375
0,34.953125
0,41.447265625
0,42.31640625
0,43.185546875
0,44.0546875
0,44.923828125
0,45.79296875
0,46.662109375
0,47.53125
0,48.400390625
0,49.26953125
0,50.138671875
0,51.0078125
0,51.876953125
0,52.74609375
0,53.615234375
0,54.484375
0,55.357421875
0,56.23046875
0,57.103515625
0,57.9765625
0,58.849609375
0,59.72265625
0,60.595703125
0,61.46875
0,62.341796875
0,63.21484375
0,64.087890625
0,64.9609375
0,65.833984375
0,66.70703125
0,67.580078125
0,63.828125
443,64.576171875
442,65.44921875
441,66.322265625
440,67.3203125
438,68.193359375
439,69.06640625
439,69.939453125
437,70.8125
437,71.810546875
439,72.43359375
438,73.181640625
435,74.3046875
437,74.927734375
439,76.05078125
438,77.048828125
439,77.921875
441,78.552734375
440,79.43359375
438,80.439453125
440,81.0703125
442,82.076171875
0,87.70703125
443,83.962890625
442,84.84375
444,85.474609375
0,91.23046875
0,92.111328125
447,88.1171875
0,93.873046875
0,94.75390625
451,91.009765625
0,96.515625
0,97.396484375
0,98.27734375
0,99.158203125
0,100.0390625
0,100.919921875
0,101.80078125
0,102.681640625
0,103.5625
0,104.443359375
0,105.32421875
0,106.205078125
0,107.0859375
0,107.966796875
0,108.84765625
0,109.728515625
0,110.609375
0,111.484375
0,112.359375
0,113.234375
0,114.109375
0,114.984375
0,115.859375
0,116.734375
0,117.609375
0,118.484375
0,119.359375
0,120.234375
0,121.109375
0,121.984375
0,122.859375
0,123.734375
0,124.609375
0,125.484375
0,126.359375
0,127.234375
0,128.109375
0,128.984375
0,129.859375
0,130.734375
0,131.609375
0,132.484375
0,133.359375
0,134.234375
0,135.109375
0,135.984375
0,136.859375
0,137.734375
0,138.609375
0,139.48876953125
0,140.3681640625
0,141.24755859375
0,142.126953125
0,143.00634765625
0,143.8857421875
0,144.76513671875
0,145.64453125
0,146.52392578125
0,147.4033203125
0,148.28271484375
0,149.162109375
0,150.04150390625
0,150.9208984375
0,151.80029296875
0,152.6796875
0,153.55908203125
0,154.4384765625
0,155.31787109375
0,156.197265625
0,157.07666015625
0,157.9560546875
0,158.83544921875
0,159.71484375
0,160.59423828125
0,161.4736328125
0,162.35302734375
0,163.232421875
0,164.11181640625
0,164.9912109375
0,165.87060546875
0,166.75
0,167.6318359375
0,164.513671875
365,165.3955078125
0,170.27734375
0,171.1591796875
0,172.041015625
0,172.9228515625
0,173.8046875
0,174.6865234375
0,175.568359375
0,176.4501953125
0,177.33203125
0,178.2138671875
0,179.095703125
0,179.9775390625
0,180.859375
0,181.7412109375
0,182.623046875
0,183.5048828125
0,184.38671875
0,185.2685546875
0,186.150390625
0,187.0322265625
0,187.9140625
0,188.7958984375
0,189.677734375
0,190.5595703125
0,191.44140625
0,192.3232421875
0,193.205078125
0,194.0869140625
0,194.96875
0,195.8544921875
0,196.740234375
0,197.6259765625
0,198.51171875
0,199.3974609375
0,200.283203125
0,201.1689453125
0,202.0546875
0,202.9404296875
0,203.826171875
0,204.7119140625
0,205.59765625
0,206.4833984375
0,207.369140625
0,208.2548828125
0,209.140625
0,210.0263671875
0,210.912109375
0,211.7978515625
